TRUE,predict
1.230448961,1.41974473
1.544068098,1.409594774
1.69896996,1.691298485
1.462398052,1.510167122
1.77085197,1.807462692
1.579783559,1.410442472
1.612783909,1.444717407
1.447157979,1.412815332
1.986771703,1.902513981
1.146128058,1.258719206
1.857332468,1.936190248
1.732393742,1.716619253
1.623249292,1.55845654
1.255272508,1.406533122
0.30103001,0.594714224
1.518513918,1.470940232
1.724275827,1.676722288
1.361727834,1.493294954
1.146128058,1.158371925
1.477121234,1.429179788
1.230448961,1.240136862
1.491361737,1.474760771
1.447157979,1.475341082
1.361727834,1.387369752
0,0.049502134
0.954242527,1.10660708
1.707570195,1.749146461
1.949390054,1.856653094
2.064457893,2.114656925
1.477121234,1.424589753
1.579783559,1.453813076
2.136720657,2.163898945
1.278753638,1.471449733
1.724275827,1.686055422
0.30103001,0.234421015
0,1.583094478
1.740362644,1.669767499
1.544068098,1.356858611
1.531478882,1.358694911
1.633468509,1.584031463
1.079181194,1.551902771
1.39794004,1.313460827
1.146128058,1.112389445
2.110589743,2.01048255
1.518513918,1.418892741
1.531478882,1.522920012
1.361727834,1.493295312
1.20412004,1.233678818
1.799340606,1.909422159
1.447157979,1.731687188
0.90309,0.805035591
1.30103004,1.314938903
1.518513918,1.539685965
1.20412004,1.079543233
0.477121264,0.569781423
1.380211234,1.343742609
1.30103004,1.849542856
1.653212547,1.684358358
1.322219253,1.322006941
1.230448961,1.214086533
2.004321337,1.842316985
1.380211234,1.391876698
1.39794004,1.482324243
1.556302547,1.435436964
1.556302547,1.63084507
2.181843519,2.260181904
1.707570195,1.773507953
1.740362644,1.714539528
0.778151274,0.760430872
1.380211234,1.36689961
2.037426472,2.028495312
1.869231701,1.873496771
0.845098019,0.689171255
1.982271194,1.941674113
1.77085197,1.743181825
1.20412004,1.180541635
1.612783909,1.443951607
0.845098019,1.232710242
1.763427973,1.669774175
1.39794004,1.108925581
1,1.170758367
2.041392803,1.925495625
1.929418921,1.883105278
1.863322854,1.869364381
1.176091313,1.44113493
1.322219253,1.448107243
1.623249292,1.789710999
1.278753638,1.263497114
1.230448961,1.397368908
0.30103001,0.173398852
1.556302547,1.567891121
1.462398052,1.472128391
1.963787794,1.943995476
1.176091313,1.122644067
1.591064572,1.716681719
1,1.064292789
1.431363821,1.310484648
0.845098019,0.812701225
1.544068098,1.500231504
1.929418921,1.897788882
1.973127842,2.012214661
1.176091313,0.917508781
1.39794004,1.497277617
0.69897002,0.948593616
1.959041357,1.848044872
1.322219253,1.378425479
1.623249292,1.622214317
1.462398052,1.497860074
1.544068098,1.505850434
1.857332468,2.052801609
1.724275827,1.832155108
1.079181194,1.300134897
0.90309,1.055908442
1.880813599,1.782424212
1.380211234,1.596745849
0.845098019,0.818680465
1.919078112,1.836627126
2.07188201,2.037425041
1.643452644,1.583977222
0.845098019,0.783212304
1.929418921,1.823593378
1.740362644,1.689641237
1.80618,1.626214027
1.544068098,1.524696589
1.944482684,2.144645452
1.857332468,1.963285804
1.230448961,1.578305125
1.39794004,1.298776984
2.243037939,2.19899416
1.892094612,1.788938999
1.812913299,1.72891891
1.963787794,1.932916284
1.799340606,1.734511852
1.30103004,1.096271038
0.90309,1.302914739
1.041392684,1.338708997
1.278753638,1.347252369
1.505149961,1.219410896
1.380211234,1.408769846
2.146127939,1.912675619
1.90309,1.912403822
1.176091313,1.4508394
1.39794004,1.512295246
1.963787794,1.82098639
2.045322895,2.132915497
1.579783559,1.708165169
2.380211353,2.38684845
1.322219253,1.337550163
1.60205996,1.630235672
1.633468509,1.650137901
1.690196037,1.61958921
1.20412004,1.311370015
1.579783559,1.66410625
1.732393742,1.653137207
1.447157979,1.370294213
1.278753638,1.473295808
1.672097802,1.75075388
1.60205996,1.644170642
1.812913299,1.806005239
1.30103004,1.281883717
2.209515095,2.299426556
1.230448961,1.466628909
2.09691,2.035226107
1.851258397,1.873684645
1.623249292,1.67795372
1.612783909,1.613406301
1.041392684,1.372368336
1.60205996,1.794660449
1.39794004,1.471027136
1.875061274,1.835303903
1.690196037,1.563675523
1.69896996,1.656705022
1.361727834,1.413052917
1.672097802,1.574826002
1.447157979,1.261970043
0.954242527,0.761321783
2.008600235,2.053277493
1.826074839,1.771301985
2.045322895,2.038871765
1.819543958,1.863922954
1.672097802,1.627500653
1.556302547,1.135756612
1.785329819,1.779109716
1.908485055,1.822318316
1.113943338,1.36883533
1.447157979,1.395363092
1.255272508,1.273356438
1.30103004,1.243062139
2.086359739,2.12218833
0.778151274,0.815759599
1.80618,1.939219952
1.39794004,1.309255838
1.579783559,1.407035112
1.342422724,1.127789378
1.77085197,1.722265124
1.230448961,1.167969465
1.518513918,1.529059291
1.892094612,1.890754342
1.176091313,1.142029524
1.556302547,1.845697641
1.255272508,1.294684768
1.863322854,1.434619904
1.69896996,1.717289567
1.954242468,1.945057034
1.845098019,1.810377002
1,1.273855925
1.778151274,1.69510901
0.778151274,0.730944037
1.477121234,1.546970487
1.414973378,1.511600494
1.342422724,1.518567085
0.90309,0.962824285
1.462398052,1.479747176
0.60206002,0.795934558
1.995635152,1.995140076
1.20412004,1.256871104
2.28555727,2.254065514
1.39794004,1.376310349
1.863322854,1.847617984
1.977723598,2.017247438
1.672097802,1.484801054
1.623249292,1.700199485
1.113943338,1.103931069
1.531478882,1.523896337
1.69896996,1.584829807
1.230448961,1.222581148
1.431363821,1.516574979
1.995635152,2.097777367
1.819543958,1.834112167
1.361727834,1.340399623
2.07188201,2.026207209
1.230448961,1.381944537
1.80618,1.910718322
1.851258397,1.820268393
1.113943338,1.19090271
1.431363821,1.510276914
1.322219253,1.5680933
1.799340606,1.788981676
1.414973378,1.301372528
1.60205996,1.541969538
1.113943338,1.334731579
1.939519286,2.014141083
2.068185806,2.005934477
1,1.348650336
1.39794004,1.409817815
1.491361737,1.464899778
1.361727834,1.296175838
1.462398052,1.202087283
1.826074839,1.874531031
1.176091313,0.989219546
1.414973378,1.129716516
1.80618,1.766250014
2.274157763,2.21722436
1.944482684,1.9395473
2.079181194,2.029192924
2.033423662,2.003839016
1.39794004,1.28667593
1,1.041011572
1.612783909,1.682337999
1,1.153479099
1.812913299,1.839498043
1.949390054,1.904900074
1.897627115,1.828333974
2.021189213,2.019277096
0.954242527,0.999477983
1.812913299,1.709476709
1.146128058,1.331462264
2.161367893,2.163495779
1.477121234,1.344545841
1.20412004,1.18144691
1.732393742,1.670190692
1.832508922,1.762304544
1.20412004,1.179764628
1.740362644,1.677471042
1.414973378,1.472420931
1.643452644,1.745317221
1.113943338,0.891978085
1.724275827,1.845117927
1.763427973,1.758503318
1.681241274,1.697489262
1.579783559,1.432027578
1.462398052,1.506733418
1.869231701,1.839541435
1.857332468,1.858049035
1.60205996,1.252455235
1.924279332,1.918486476
1.963787794,1.896867514
1.380211234,1.406191468
1.56820178,1.55665803
1.544068098,1.306499243
1.230448961,1.370340824
1.716003299,1.688640833
1.146128058,1.100621462
1.56820178,1.583457232
0,0.09771502
2.190331697,2.12059164
1.973127842,1.861128211
0.69897002,1.209372044
1.342422724,1.272607446
1.724275827,1.858816385
1.60205996,1.749809504
1.707570195,1.752488375
1.505149961,1.560921431
1.949390054,1.962529659
1.707570195,1.678864479
2.572871685,2.197871685
1.643452644,1.748165011
1.949390054,1.986102223
2.037426472,2.001358509
1.20412004,1.034222007
1.505149961,1.483985662
1.897627115,1.819988012
1.716003299,1.53680253
1.20412004,1.663212657
1.544068098,1.545438766
1.968482971,1.958468795
1.477121234,1.494812727
1.954242468,1.769707322
1.799340606,1.784045935
1.707570195,1.703319907
1.041392684,1.237727404
1.447157979,1.425519228
1.230448961,1.343212128
1.20412004,1.27516675
1.77085197,1.721215606
1.176091313,1.215790629
1.230448961,1.157828569
1.255272508,1.029164791
1.477121234,1.457509995
1.778151274,1.843752384
1.477121234,1.474626184
1.672097802,1.851067901
1.544068098,1.582494617
1.447157979,1.512386918
1.380211234,1.390380979
1.491361737,1.554393291
1.707570195,1.721800566
0,1.031148195
1.851258397,1.889667988
1.826074839,1.711315751
1,1.16984129
1.732393742,1.656164765
2.07554698,2.154716015
1.60205996,1.397180676
1.857332468,1.835985899
1.934498429,1.884109497
1.041392684,1.085251451
1.39794004,1.311077356
1.342422724,1.300926805
2.037426472,1.939184427
1.944482684,1.893009663
1.591064572,1.584914446
1.146128058,1.241576791
1.612783909,1.589814782
1.755874872,1.705005646
1.857332468,1.789564729
2.120573997,2.089938641
1.653212547,1.61808753
1.491361737,1.48026073
1.60205996,1.61317718
1.838849068,1.833263993
1.863322854,1.783400893
1.342422724,1.432452679
1.77085197,1.83079505
1.477121234,1.376135826
1.447157979,1.343245625
1.944482684,1.835923791
1.113943338,1.299711108
0.477121264,0.69684273
1.80618,1.770632505
1.39794004,1.423802257
2.240549326,2.25065136
1.838849068,1.77555728
1.838849068,1.806487322
1.672097802,1.626532316
1.732393742,1.667823076
1.799340606,1.685633659
2.041392803,1.958442211
1.079181194,1.135702014
1.755874872,1.767553806
1.505149961,1.690979958
1.56820178,1.50684464
1.518513918,1.577322602
1.838849068,1.778692365
1.113943338,1.111371875
1.681241274,1.682266951
1.505149961,1.607442737
0.845098019,0.881959319
1.505149961,1.51819694
0.60206002,0.776394129
1.799340606,1.874832153
1.944482684,1.961155295
1.431363821,1.40711832
1.491361737,1.447337985
1.255272508,1.338486671
1.230448961,1.252452731
1.623249292,1.58283937
1.113943338,1.345289588
